p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08066666666666666,4.514583333333333,2205.726338805714,2179.168876873289,3.338490135555776
0.08066666666666666,4.5625,2238.346210389577,2211.788748457152,3.3449399544791745
0.08066666666666666,4.610416666666667,2270.580381596621,2244.022919664196,3.3512207791179063
0.08066666666666666,4.658333333333333,2302.4316664673847,2275.8742045349595,3.3573390368577942
0.08066666666666666,4.70625,2333.9031024112405,2307.3456404788153,3.3633008385017864
0.08066666666666666,4.754166666666666,2364.9979243651387,2338.4404624327135,3.3691119970956462
0.08066666666666666,4.802083333333333,2395.719541224468,2369.1620792920426,3.3747780454764995
0.08066666666666666,4.85,2426.0715143469824,2399.514052414557,3.3803042526372975
0.08066666666666666,4.897916666666666,2456.057537949029,2429.500076016604,3.385695638993606
0.08066666666666666,4.945833333333334,2485.6814212301347,2459.1239592977095,3.390956990632913
0.08066666666666666,4.99375,2514.9470720769073,2488.389610144482,3.3960928726206925
0.08066666666666666,5.041666666666667,2543.8584822106577,2517.3010202782325,3.4011076414319312
0.08066666666666666,5.089583333333334,2572.4197136554135,2545.8622517229883,3.406005456571642
0.08066666666666666,5.1375,2600.634886414007,2574.0774244815816,3.410790291443078
0.08066666666666666,5.185416666666667,2628.508167249772,2601.950705317347,3.4154659435178494
0.08066666666666666,5.233333333333333,2656.0437594805876,2629.4862975481624,3.420036043858051
0.08066666666666666,5.28125,2683.245893699973,2656.6884317675476,3.4245040660366217
0.08066666666666666,5.329166666666667,2710.1188193475064,2683.561357415081,3.42887333449865
0.08066666666666666,5.377083333333333,2736.6667970574017,2710.1093351249765,3.433147032403049
0.08066666666666666,5.425,2762.8940917203854,2736.33662978796,3.4373282089810324
0.08066666666666666,5.472916666666666,2788.804966199326,2762.2475042669007,3.4414197864450267
0.08066666666666666,5.520833333333333,2814.403675644313,2787.8462137118877,3.4454245664791165
0.08066666666666666,5.56875,2839.694462357318,2813.137000424893,3.449345236339752
0.08066666666666666,5.616666666666666,2864.681551160921,2838.124089228496,3.453184374593301
0.08066666666666666,5.664583333333334,2889.369145229159,2862.811683296734,3.456944456515008
0.08066666666666666,5.7125,2913.7614223423593,2887.203960409934,3.4606278591721296
0.08066666666666666,5.760416666666667,2937.862531530572,2911.305069598147,3.4642368662122687
0.08066666666666666,5.808333333333334,2961.676590073604,2935.119128141179,3.467773672376449
0.08066666666666666,5.85625,2985.207680827793,2958.6502188953677,3.4712403877549676
0.08066666666666666,5.904166666666667,3008.4598498525625,2981.9023879201372,3.474639041802805
0.08066666666666666,5.952083333333333,3031.4371043115884,3004.879642379163,3.477971587130115
0.08066666666666666,6.0,3054.143410625786,3027.585948693361,3.4812399030822307
0.08133333333333333,0.25,48596.750753758555,48570.19329182613,4.686378773303987
0.08133333333333333,0.29791666666666666,41262.750873672725,41236.1934117403,4.615289099694125
0.08133333333333333,0.3458333333333333,34825.866952493765,34799.30949056134,4.541583106286963
0.08133333333333333,0.39375,29378.783461019873,29352.225999087448,4.467655838347204
0.08133333333333333,0.44166666666666665,24860.249578541083,24833.692116608658,4.39505878028104
0.08133333333333333,0.4895833333333333,21130.686924475645,21104.12946254322,4.324388020536657
0.08133333333333333,0.5375,18038.101764459458,18011.544302527032,4.255575061986896
0.08133333333333333,0.5854166666666667,15450.772106727996,15424.214644795571,4.188231216037643
0.08133333333333333,0.6333333333333333,13265.448224459018,13238.890762526593,4.121884401914284
0.08133333333333333,0.68125,11404.44177053236,11377.884308599934,4.056099681885756
0.08133333333333333,0.7291666666666666,9809.71448288056,9783.157020948134,3.9905234138548966
0.08133333333333333,0.7770833333333333,8437.337223451172,8410.779761518746,3.9248878933997755
