d,p,batch,batch_shots,failure_count,failure_rate
7,0.025,16,1000,1,0.001
7,0.025,17,1000,2,0.002
7,0.025,18,1000,2,0.002
7,0.025,19,1000,1,0.001
7,0.025,20,1000,0,0.0
7,0.025,21,1000,1,0.001
7,0.025,22,1000,0,0.0
7,0.025,23,1000,1,0.001
7,0.025,24,1000,0,0.0
7,0.025,25,1000,0,0.0
7,0.025,26,1000,0,0.0
7,0.025,27,1000,2,0.002
7,0.025,28,1000,1,0.001
7,0.025,29,1000,1,0.001
7,0.025,30,1000,0,0.0
7,0.025,31,1000,1,0.001
7,0.025,32,1000,0,0.0
7,0.025,33,1000,2,0.002
7,0.025,34,1000,1,0.001
7,0.025,35,1000,0,0.0
7,0.025,36,1000,2,0.002
7,0.025,37,1000,1,0.001
7,0.025,38,1000,0,0.0
7,0.025,39,1000,1,0.001
7,0.025,40,1000,0,0.0
7,0.025,41,1000,0,0.0
7,0.025,42,1000,0,0.0
7,0.025,43,1000,0,0.0
7,0.025,44,1000,2,0.002
7,0.025,45,1000,2,0.002
7,0.025,46,1000,0,0.0
7,0.025,47,1000,0,0.0
7,0.025,48,1000,0,0.0
7,0.025,49,1000,0,0.0
7,0.025,50,1000,0,0.0
7,0.025,51,1000,2,0.002
7,0.025,52,1000,0,0.0
7,0.025,53,1000,1,0.001
7,0.025,54,1000,1,0.001
7,0.025,55,1000,1,0.001
7,0.025,56,1000,0,0.0
7,0.025,57,1000,1,0.001
7,0.025,58,1000,0,0.0
7,0.025,59,1000,0,0.0
7,0.025,60,1000,2,0.002
7,0.025,61,1000,0,0.0
7,0.025,62,1000,1,0.001
7,0.025,63,1000,1,0.001
7,0.025,64,1000,0,0.0
7,0.025,65,1000,1,0.001
7,0.025,66,1000,0,0.0
7,0.025,67,1000,0,0.0
7,0.025,68,1000,0,0.0
7,0.025,69,1000,1,0.001
7,0.025,70,1000,0,0.0
7,0.025,71,1000,0,0.0
7,0.025,72,1000,0,0.0
7,0.025,73,1000,1,0.001
7,0.025,74,1000,0,0.0
7,0.025,75,1000,1,0.001
7,0.025,76,1000,0,0.0
7,0.025,77,1000,2,0.002
7,0.025,78,1000,0,0.0
7,0.025,79,1000,1,0.001
7,0.025,80,1000,3,0.003
7,0.025,81,1000,2,0.002
7,0.025,82,1000,0,0.0
7,0.025,83,1000,0,0.0
7,0.025,84,1000,0,0.0
7,0.025,85,1000,0,0.0
7,0.025,86,1000,2,0.002
7,0.025,87,1000,0,0.0
7,0.025,88,1000,1,0.001
7,0.025,89,1000,1,0.001
7,0.025,90,1000,0,0.0
7,0.025,91,1000,0,0.0
7,0.025,92,1000,0,0.0
7,0.025,93,1000,0,0.0
7,0.025,94,1000,0,0.0
7,0.025,95,1000,1,0.001
7,0.025,96,1000,2,0.002
7,0.025,97,1000,1,0.001
7,0.025,98,1000,1,0.001
7,0.025,99,1000,0,0.0
7,0.025,100,1000,2,0.002
7,0.03,1,1000,1,0.001
7,0.03,2,1000,2,0.002
7,0.03,3,1000,1,0.001
7,0.03,4,1000,2,0.002
7,0.03,5,1000,0,0.0
7,0.03,6,1000,5,0.005
7,0.03,7,1000,0,0.0
7,0.03,8,1000,3,0.003
